MEX2: Luis Malagón
USA10: Weston McKenny
USA11: Christian Roldan
USA12: Timothy Weah
USA14: Diego Luna
USA15: Malim Tillman
USA16: Christian Pulisic
USA17: Brenden Aaronson
USA18: Ricardo Pepi
USA19: Haji Wright
USA20: Folarin Balogun
PAR2: Roberto Fernández
PAR3: Orlando Gill
PAR4: Gustavo Gómez
PAR5: Fabián Balbuena
PAR6: Juan José Cáceres
PAR7: Omar Alderete
PAR8: Junior Alonso
PAR9: Mathías Villasanti
PAR10: Diego Gómez
PAR11: Damián Bobadilla
PAR12: Andrés Cubas
PAR14: Matías Galarza Fonda
PAR15: Julio Enciso
PAR16: Alejandro Romero Gamarra
PAR17: Miguel Almirón
PAR18: Ramón Sosa
PAR19: Ángel Romero
PAR20: Antonio Sanabria
AUS2: Mathew Ryan
AUS3: Joe Gauci
AUS4: Harry Souttar
AUS5: Alessandro Circati
AUS6: Jordan Bos
AUS7: Aziz Behich
AUS8: Cameron Burgess
AUS9: Lewis Miller
AUS10: Milos Degenek
AUS11: Jackson Irvine
AUS12: Riley McGree
AUS14: Aiden O’Neill
AUS15: Connor Metcalfe
AUS16: Patrick Yazbek
AUS17: Craig Goodwin
AUS18: Kusini Yengi
AUS19: Nestory Irankunda
AUS20: Mohamed Touré
TUR2: Ugurcan Cakir
TUR3: Mert Muldur
TUR4: Zeki Celik
TUR5: Abdulkerim Bardakci
TUR6: Caglar Soyunku
TUR7: Merih Demiral
TUR8: Ferdi Kadioglu
TUR9: Kaan Ayhan
TUR10: Ismail Yuksek
TUR11: Hakan Calhanoglu
TUR12: Orkun Kokcu
TUR14: Arda Güler
TUR15: Irfan Can Kahvecu
TUR16: Yunus Akgun
TUR17: Can Uzun
TUR18: Baris Alper Yilmaz
TUR19: Kerem Akturkoglu
TUR20: Kenan Yildiz
GER2: Marc-André ter Stegen
GER3: Jonathan Tah
GER4: David Raum
GER5: Nico Schlotterbeck
GER6: Antonio Rüdiger
GER7: Waldemar Anton
GER8: Ridle Baku
GER9: Maximilian Mittelstädt
GER10: Joshua Kimmich
GER11: Florian Wirtz
GER12: Felix Nmecha
GER14: Leon Goretzka
GER15: Jamal Musiala
GER16: Serge Gnabry
GER17: Kai Havertz
GER18: Leroy Sané
GER19: Karim Adeyemi
GER20: Nick Woltemade
CUW2: Eloy Room
CUW3: Armando Obispo
CUW4: Sherel Floranus
CUW5: Jurien Gaari
CUW6: Joshua Brenet
CUW7: Roshon Van Eijma
CUW8: Shurandy Sambo
CUW9: Livano Comenencia
CUW10: Godfried Roemeratoe
CUW11: Juninho Bacuna
CUW12: Leandro Bacuna
CUW14: Tahith Chong
CUW15: Kenji Gorré
CUW16: Jearl Margaritha
CUW17: Jurgen Locadia
CUW18: Jeremy Antonisse
CUW19: Gervane Kastaneer
